date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:22:13	150784/150784	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2020:22:12%20GMT	https://dalameen.com/ea/	C:/My%20Web%20Sites/EAMCS/dalameen.com/ea/index.html	(from )
21:22:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Aug%202025%2020:22:21%20GMT	https://dalameen.com/robots.txt		(from )
21:22:23	45719/45719	---MCZ	200	added ('OK')	text/css	date:Sun,%2024%20Aug%202025%2009:09:19%20GMT	https://dalameen.com/ea/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.11.10	C:/My%20Web%20Sites/EAMCS/dalameen.com/ea/wp-content/themes/astra/assets/css/minified/main.min4641.css	(from https://dalameen.com/ea/)
21:22:23	53527/53527	---MCZ	200	added ('OK')	text/css	date:Sun,%2024%20Aug%202025%2009:13:40%20GMT	https://dalameen.com/ea/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.31.2	C:/My%20Web%20Sites/EAMCS/dalameen.com/ea/wp-content/plugins/elementor/assets/css/frontend.min242d.css	(from https://dalameen.com/ea/)
21:22:24	7418/7418	---MCZ	200	added ('OK')	text/css	date:Sun,%2024%20Aug%202025%2009:13:36%20GMT	https://dalameen.com/ea/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=6.2.4	C:/My%20Web%20Sites/EAMCS/dalameen.com/ea/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min0757.css	(from https://dalameen.com/ea/)
21:22:24	2158/2158	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2256fe40d2000dd7e13a6f3b03db94dd7b%22	https://dalameen.com/ea/feed/	C:/My%20Web%20Sites/EAMCS/dalameen.com/ea/feed/index.html	(from https://dalameen.com/ea/)
21:22:24	20557/20557	---MCZ	200	added ('OK')	text/css	date:Sun,%2024%20Aug%202025%2014:58:19%20GMT	https://dalameen.com/ea/wp-content/uploads/essential-addons-elementor/eael-769.css?ver=1756066859	C:/My%20Web%20Sites/EAMCS/dalameen.com/ea/wp-content/uploads/essential-addons-elementor/eael-769366f.css	(from https://dalameen.com/ea/)
21:22:25	1170/1170	---MCZ	200	added ('OK')	text/css	date:Sun,%2024%20Aug%202025%2016:02:20%20GMT	https://dalameen.com/ea/wp-content/uploads/elementor/css/post-703.css?ver=1756051340	C:/My%20Web%20Sites/EAMCS/dalameen.com/ea/wp-content/uploads/elementor/css/post-703ef61.css	(from https://dalameen.com/ea/)
21:22:25	254/254	---MCZ	200	added ('OK')	text/css	date:Sun,%2024%20Aug%202025%2009:13:40%20GMT	https://dalameen.com/ea/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.31.2	C:/My%20Web%20Sites/EAMCS/dalameen.com/ea/wp-content/plugins/elementor/assets/css/widget-image.min242d.css	(from https://dalameen.com/ea/)
21:22:26	358/358	---MCZ	200	added ('OK')	text/css	date:Sun,%2024%20Aug%202025%2009:13:40%20GMT	https://dalameen.com/ea/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-shrink.min.css?ver=3.31.2	C:/My%20Web%20Sites/EAMCS/dalameen.com/ea/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-shrink.min242d.css	(from https://dalameen.com/ea/)
